

INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-13 08:50:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-13 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-14 08:50:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-14 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-16 09:40:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-16 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-17 09:30:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-17 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-20 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-20 08:50:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-21 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-21 08:50:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-22 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-22 08:50:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-23 18:15:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-23 08:50:38', 25);
INSERT INTO tblAttendanceRecord VALUES(attendanceRecordSeq.NEXTVAL, '2018-08-24 18:15:38', 25);
